
1         41 42 43            
2         42 45 46 
3         43 42 46 
4         43 46 47 
5         44 43 47 
6         45 48 49 
7         46 45 49 
8         46 49 50 
9         47 46 50 
10        48 51 52 
11        49 48 52 
12        49 52 53 
13        50 49 53 
14        51 54 55 
15        52 51 55 
16        52 55 56 
17        53 52 56 
18        54 57 58 
19        55 54 58 
20        55 58 59 
21        56 55 59 
22        57 60 61 
23        58 57 61 
24        58 61 62 
25        59 58 62 
26        60 63 64 
27        61 60 64 
28        61 64 65 
29        62 61 65 
30        63 66 67 
31        64 63 67 
32        64 67 68 
33        65 64 68 
34        66 69 70 
35        67 66 70 
36        67 70 71 
37        68 67 71 
38        69 72 73 
39        70 69 73 
40        70 73 74 
41        71 70 74 
42        72 75 76 
43        73 72 76 
44        73 76 77 
45        74 73 77 
46        75 78 79 
47        76 75 79 
48        76 79 80 
49        77 76 80 
50        78 81 82 
51        79 78 82 
52        79 82 83 
53        80 79 83 
54        83 82 84 
55        4 41 25 
56        26 41 4 
57        26 42 41 
58        27 42 26 
59        27 45 42 
60        28 45 27 
61        28 48 45 
62        29 48 28 
63        29 51 48 
64        30 51 29 
65        30 54 51 
66        31 54 30 
67        31 57 54 
68        32 57 31 
69        32 60 57 
70        33 60 32 
71        33 63 60 
72        34 63 33 
73        34 66 63 
74        35 66 34 
75        35 69 66 
76        36 69 35 
77        36 72 69 
78        37 72 36 
79        37 75 72 
80        38 75 37 
81        38 78 75 
82        39 78 38 
83        39 81 78 
84        40 81 39 
85        1 5 40 
86        5 81 40 
87        6 81 5 
88        6 82 81 
89        6 84 82 
90        7 84 6 
91        2 84 7 
92        8 84 2 
93        8 83 84 
94        9 83 8 
95        9 80 83 
96        10 80 9 
97        10 77 80 
98        11 77 10 
99        11 74 77 
100        12 74 11 
101        12 71 74 
102        13 71 12 
103        13 68 71 
104        14 68 13 
105        14 65 68 
106        15 65 14 
107        15 62 65 
108        16 62 15 
109        16 59 62 
110        17 59 16 
111        17 56 59 
112        18 56 17 
113        18 53 56 
114        19 53 18 
115        19 50 53 
116        20 50 19 
117        20 47 50 
118        21 47 20 
119        21 44 47 
120        22 44 21 
121        3 23 22 
122        23 44 22 
123        24 44 23 
124        24 43 44 
125        24 41 43 
126        25 41 24 
