Номер,координата X,координата Y

1 0.00000000000000E+0000 0.00000000000000E+0000 1
2 0.00000000000000E+0000 2.40000000000146E+0000 0
3 0.00000000000000E+0000 4.80000000000291E+0000 0
4 0.00000000000000E+0000 7.20000000000437E+0000 0
5 0.00000000000000E+0000 9.60000000000582E+0000 0
6 0.00000000000000E+0000 1.20000000000073E+0001 0
7 0.00000000000000E+0000 1.44000000000087E+0001 0
8 0.00000000000000E+0000 1.68000000000102E+0001 0
9 0.00000000000000E+0000 1.92000000000116E+0001 0
10 0.00000000000000E+0000 2.16000000000131E+0001 0
11 0.00000000000000E+0000 2.40000000000146E+0001 0
12 0.00000000000000E+0000 2.64000000000160E+0001 0
13 0.00000000000000E+0000 2.88000000000175E+0001 0
14 0.00000000000000E+0000 3.12000000000189E+0001 0
15 0.00000000000000E+0000 3.36000000000204E+0001 0
16 0.00000000000000E+0000 3.60000000000218E+0001 0
17 0.00000000000000E+0000 3.84000000000233E+0001 0
18 0.00000000000000E+0000 4.08000000000247E+0001 0
19 0.00000000000000E+0000 4.32000000000262E+0001 0
20 0.00000000000000E+0000 4.56000000000276E+0001 0
21 0.00000000000000E+0000 4.80000000000291E+0001 0
22 0.00000000000000E+0000 5.04000000000306E+0001 0
23 0.00000000000000E+0000 5.28000000000320E+0001 0
24 0.00000000000000E+0000 5.52000000000335E+0001 0
25 0.00000000000000E+0000 5.76000000000349E+0001 0
26 0.00000000000000E+0000 6.00000000000364E+0001 0
27 0.00000000000000E+0000 6.24000000000378E+0001 0
28 0.00000000000000E+0000 6.48000000000393E+0001 0
29 0.00000000000000E+0000 6.72000000000407E+0001 0
30 0.00000000000000E+0000 6.96000000000422E+0001 0
31 1.45499999999993E+0000 0.00000000000000E+0000 1
32 1.45499999999993E+0000 1.20000000000073E+0000 0
33 1.45499999999993E+0000 3.60000000000218E+0000 0
34 1.45499999999993E+0000 6.00000000000364E+0000 0
35 1.45499999999993E+0000 8.40000000000509E+0000 0
36 1.45499999999993E+0000 1.08000000000065E+0001 0
37 1.45499999999993E+0000 1.32000000000080E+0001 0
38 1.45499999999993E+0000 1.56000000000095E+0001 0
39 1.45499999999993E+0000 1.80000000000109E+0001 0
40 1.45499999999993E+0000 2.04000000000124E+0001 0
41 1.45499999999993E+0000 2.28000000000138E+0001 0
42 1.45499999999993E+0000 2.52000000000153E+0001 0
43 1.45499999999993E+0000 2.76000000000167E+0001 0
44 1.45499999999993E+0000 3.00000000000182E+0001 0
45 1.45499999999993E+0000 3.24000000000196E+0001 0
46 1.45499999999993E+0000 3.48000000000211E+0001 0
47 1.45499999999993E+0000 3.72000000000226E+0001 0
48 1.45499999999993E+0000 3.96000000000240E+0001 0
49 1.45499999999993E+0000 4.20000000000255E+0001 0
50 1.45499999999993E+0000 4.44000000000269E+0001 0
51 1.45499999999993E+0000 4.68000000000284E+0001 0
52 1.45499999999993E+0000 4.92000000000298E+0001 0
53 1.45499999999993E+0000 5.16000000000313E+0001 0
54 1.45499999999993E+0000 5.40000000000327E+0001 0
55 1.45499999999993E+0000 5.64000000000342E+0001 0
56 1.45499999999993E+0000 5.88000000000357E+0001 0
57 1.45499999999993E+0000 6.12000000000371E+0001 0
58 1.45499999999993E+0000 6.36000000000386E+0001 0
59 1.45499999999993E+0000 6.60000000000400E+0001 0
60 1.45499999999993E+0000 6.84000000000415E+0001 0
61 1.45499999999993E+0000 6.96000000000422E+0001 0
62 2.86635000000024E+0000 0.00000000000000E+0000 1
63 2.86635000000024E+0000 2.40000000000146E+0000 0
64 2.86635000000024E+0000 4.80000000000291E+0000 0
65 2.86635000000024E+0000 7.20000000000437E+0000 0
66 2.86635000000024E+0000 9.60000000000582E+0000 0
67 2.86635000000024E+0000 1.20000000000073E+0001 0
68 2.86635000000024E+0000 1.44000000000087E+0001 0
69 2.86635000000024E+0000 1.68000000000102E+0001 0
70 2.86635000000024E+0000 1.92000000000116E+0001 0
71 2.86635000000024E+0000 2.16000000000131E+0001 0
72 2.86635000000024E+0000 2.40000000000146E+0001 0
73 2.86635000000024E+0000 2.64000000000160E+0001 0
74 2.86635000000024E+0000 2.88000000000175E+0001 0
75 2.86635000000024E+0000 3.12000000000189E+0001 0
76 2.86635000000024E+0000 3.36000000000204E+0001 0
77 2.86635000000024E+0000 3.60000000000218E+0001 0
78 2.86635000000024E+0000 3.84000000000233E+0001 0
79 2.86635000000024E+0000 4.08000000000247E+0001 0
80 2.86635000000024E+0000 4.32000000000262E+0001 0
81 2.86635000000024E+0000 4.56000000000276E+0001 0
82 2.86635000000024E+0000 4.80000000000291E+0001 0
83 2.86635000000024E+0000 5.04000000000306E+0001 0
84 2.86635000000024E+0000 5.28000000000320E+0001 0
85 2.86635000000024E+0000 5.52000000000335E+0001 0
86 2.86635000000024E+0000 5.76000000000349E+0001 0
87 2.86635000000024E+0000 6.00000000000364E+0001 0
88 2.86635000000024E+0000 6.24000000000378E+0001 0
89 2.86635000000024E+0000 6.48000000000393E+0001 0
90 2.86635000000024E+0000 6.72000000000407E+0001 0
91 2.86635000000024E+0000 6.96000000000422E+0001 0
92 4.34999999999854E+0000 0.00000000000000E+0000 1
93 4.34999999999854E+0000 1.20000000000073E+0000 1
94 4.34999999999854E+0000 3.60000000000218E+0000 1
95 4.34999999999854E+0000 6.00000000000364E+0000 1
96 4.34999999999854E+0000 8.40000000000509E+0000 1
97 4.34999999999854E+0000 1.08000000000065E+0001 1
98 4.34999999999854E+0000 1.32000000000080E+0001 1
99 4.34999999999854E+0000 1.56000000000095E+0001 1
